scientific_name,common_names,category,park_name,observations,conservation_status
Vicia benghalensis,"Purple Vetch, Reddish Tufted Vetch",Vascular Plant,Great Smoky Mountains National Park,68,
Neovison vison,American Mink,Mammal,Great Smoky Mountains National Park,77,
Prunus subcordata,Klamath Plum,Vascular Plant,Yosemite National Park,138,
Abutilon theophrasti,Velvetleaf,Vascular Plant,Bryce National Park,84,
Githopsis specularioides,Common Bluecup,Vascular Plant,Great Smoky Mountains National Park,85,
Elymus virginicus var. virginicus,Virginia Wildrye,Vascular Plant,Yosemite National Park,112,
Spizella pusilla,Field Sparrow,Bird,Yellowstone National Park,228,
Elymus multisetus,"Big Squirreltail, Big Wild Rye",Vascular Plant,Great Smoky Mountains National Park,39,
Lysimachia quadrifolia,Whorled Loosestrife,Vascular Plant,Yosemite National Park,168,
Diphyscium cumberlandianum,Cumberland Diphyscium Moss,Nonvascular Plant,Yellowstone National Park,250,
Ludwigia peploides ssp. glabrescens,Floating Primrosewillow,Vascular Plant,Bryce National Park,103,
Cistothorus platensis,Sedge Wren,Bird,Bryce National Park,114,
Setaria viridis var. viridis,Green Bristlegrass,Vascular Plant,Bryce National Park,101,
Arabis davidsonii,Davidson's Rockcress,Vascular Plant,Yellowstone National Park,279,
Fabronia ciliaris,Fabronia Moss,Nonvascular Plant,Great Smoky Mountains National Park,72,
Lunaria annua,Annual Honesty,Vascular Plant,Great Smoky Mountains National Park,65,
Lunaria annua,"Annual Honesty, Moneyplant",Vascular Plant,Great Smoky Mountains National Park,65,
Quercus bicolor,Swamp White Oak,Vascular Plant,Yosemite National Park,143,
Muhlenbergia rigens,"Deer Muhly, Deergrass",Vascular Plant,Yosemite National Park,165,
Rubus idaeus ssp. strigosus,American Red Raspberry,Vascular Plant,Yosemite National Park,150,
Polymnia canadensis,"Leaf-Cup, White-Flower Leafcup",Vascular Plant,Great Smoky Mountains National Park,80,
Carduus nutans,Musk Thistle,Vascular Plant,Bryce National Park,83,
Ptilium crista-castrensis,Knights Plume Moss,Nonvascular Plant,Bryce National Park,109,
Elodea nuttallii,Waterweed,Vascular Plant,Yosemite National Park,158,
Elodea nuttallii,Western Waterweed,Vascular Plant,Yosemite National Park,158,
Larus philadelphia,Bonaparte's Gull,Bird,Yosemite National Park,167,
Zizia trifoliata,"Meadow Alexanders, Three-Leaved Golden Alexanders",Vascular Plant,Yosemite National Park,135,Species of Concern
